bits,backend,nu_err,binc_err
53,float64,1.3347674278605309e-11,5.259546308579907e-11
53,multifloat,9.439074187280477e-13,3.718414781676334e-12
106,multifloat,3.560971105684047e-28,1.4028631513077028e-27
159,multifloat,1.3254078072208496e-43,5.2227584210814786e-43
212,multifloat,3.3515006260098513e-59,1.3206764196583106e-58
53,bigfloat,1.3347674278605309e-11,3.7175126926888696e-12
106,bigfloat,1.916825032890076e-28,7.552699555935342e-28
159,bigfloat,7.442569838321634e-45,2.930696252298375e-44
212,bigfloat,1.2829260526014386e-60,5.055260834659485e-60
265,bigfloat,2.2060137324259957e-76,8.691171566193226e-76
318,bigfloat,5.240196622682315e-92,2.0654114080435552e-91
424,bigfloat,1.6344180992424616e-125,6.41254016418892e-125
512,bigfloat,3.148756672087404e-153,2.3656260948421906e-152
