s,l,m,a,Re_omega,Im_omega,r,Re_Rup,Im_Rup
-2,2,2,0.,0.3,0,6.,-146.80176684046776,-71.25084612308495
-2,2,2,0.,0.3,0,10.,-130.16338906287885,-893.1284926748883
-2,2,2,0.,0.3,0,20.,1455.5952472972997,7655.439017658179
-2,2,2,0.,0.5,0,6.,-48.80512061642147,-192.18413996534008
-2,2,2,0.,0.5,0,10.,830.107823801958,494.088808462927
-2,2,1,0.,0.3,0,6.,-146.80176684046776,-71.25084612308495
-2,3,3,0.,0.3,0,6.,182.29390851853893,58.01899129184704
-2,2,2,0.,0.3,-0.1,6.,-241.64483761137,-15.67437529085303
-2,2,2,0.,0.3,-0.1,10.,-750.1814280326022,-2557.5231941245956
-2,2,2,0.,0.5,0.2,6.,-19.144652795443204,-58.648175702399946
-2,2,2,0.,0.1,-0.3,6.,433.28341968764846,641.8524467866284
-2,2,2,0.5,0.3,0,6.,-137.37464548661507,-49.54390446829848
-2,2,2,0.5,0.3,0,10.,-179.69625511852567,-860.4606021016425
-2,2,2,0.9,0.3,0,6.,-132.5159577181579,-33.19396478742339
-2,2,2,0.9,0.5,0,6.,-70.15875973813266,-171.72511678513376
-2,2,1,0.9,0.3,0,6.,-142.12084153912983,-52.68117180904962
-2,3,3,0.5,0.3,0,6.,136.06574823982305,77.19755197390322
-2,2,2,0.5,0.3,-0.1,6.,-229.68766861070523,16.90665080294749
-2,2,2,0.5,0.3,-0.1,10.,-907.6351031798926,-2457.564215097134
-2,2,2,0.9,0.3,-0.1,6.,-224.3018184078259,41.7867570794849
-2,2,2,0.9,0.5,0.2,6.,-22.76491249204539,-52.65045267583823
-2,2,1,0.9,0.3,-0.2,6.,-469.73190136203493,165.46252949275194
-2,3,3,0.5,0.3,-0.1,6.,-104.88993500827588,-39.079730883055134
